Tech	10e2d96f-ffb1-4656-a1cd-2afafdfed946	22287bd1-7324-4069-9a77-321faa54b03c	4c82b0e8-bff1-460f-acde-7f8d096485d8	74fb1a5a-e83e-4837-9289-d59ab2048d02	63d66dc5-4c9e-4ba5-a10f-63a159240bc9	256c10ca-3378-4dc7-8e74-6da7cae6c058	1b31b7c8-2237-43ae-8969-7a4332bcde03	e0eb5561-1a16-4101-8e06-b90ffa75c90f	Dylan	dddff4a6-da59-4353-89ea-860bbd18c4a3	0e715d09-457f-463e-9091-9114be7553d0	bba7c587-03d8-43fd-9247-38e3fc994e55	b353ec9c-4426-48b3-ba89-5cf33dd95cc6	Megan	210cca65-092f-465c-af28-1c40838a3ba5	3ec6905d-7649-43db-b8dc-39a0986d131f	76943be9-fd8b-4cad-a70c-7f1374f22314	83814e57-f7b5-47d7-a0b6-2d2c3a6a4500	a5cc04a7-4ae1-4e35-b22e-bcaf2a6cdacb	53c90866-34b6-4f51-ae99-4c13b4de5202	54a33a6e-7af8-4d74-b32d-90a4ae53521a	2ff4759a-8086-4198-b875-c1dc91cc9dc3
HTML	1	5			4	4	4	4		4			5		4	5		4	5	5		5
CSS	1	5			2	2	2	2		1			5		2	4		3	4	4		4
JavaScript	1	5			4	4	4	4		4			5		4	4		3	4	4		5
TypeScript	1	4			2	4	4	4		4			4		2	4		2	4	4		4
Angular	1	1			2	2	2	2		2			4		1	4		1	2	4		2
React	1	4			2	4	2	5		4			2		1	4		1	4	2		2
Vue	1	4			4	2	2	4		5			5		4	2		3	4	2		5
Blazor	1	1			2	2	2	2		2			2		4	2		3	2	2		2
C#	4	5			5	5	5	4		5			5		4	5		4	5	5		5
.NET	4	5			5	5	5	4		5			5		4	5		4	5	5		5
.NET Core	4	5			5	5	5	4		5			5		4	4		4	4	5		4
Node.js	1	4			2	2	4	4		4			4		1	2		3	2	4		4
F#	1	2			2	1	2	2		2			4		2	2		1	2	1		1
WPF	1	2			5	1	3	4		4			1		5	3		4	1	4		1
winUI	1	1			2	2	2	2		2			2		2	2		2	4	2		1
SQL Server	5	4			4	4	4	4		5			5		4	4		5	5	5		4
MySQL	1	2			4	3	2	4		5			4		2	3		3	4	4		4
Postgres	1	4			2	3	2	4		5			4		2	3		3	3	4		2
MongoDB	1	2			2	2	2	2		2			4		2	2		2	3	4		2
CosmosDB	2	2			2	2	2	2		2			2		2	2		2	2	2		2
SiteCore 	1	1			1	1	1	1		1			1		1	1		1	5	2		1
Umbraco	1	1			2	1	1	1		1			1		1	1		2	5	2		1
Wordpress	3	1			1	1	1	1		2			4		1	1		1	1	4		1
SharePoint	3	1			1	1	3						1		1	1		2	1	1		1
UI/UX Theory & Practice	1	4			4	2	2						4		2	2		4	4	2
Search Engine Optimisation	1	2			2	1	1						4		2	2		2	4	2
Website Analytics	3	2			2	2	2						4		2	2		2	4	4
User/Audience Profiling	1	2			4	2	1						4		2	2		2	4	4
Azure API Management	5	2			2	3	2	4		2			5		2	2		2	2	2		2
Azure ServiceBus	5	2			2	3	2	2		5			5		2	4		3	2	4		4
Azure EventGrid	5	4			2	2	2	2		4			4		2	2		3	2	2		5
Azure Logic Apps	5	1			2	2	2			2			2		2	2		5	3	2		2
Azure Functions	5	4			2	2	2	2		5			5		4	5		4	4	4		5
BizTalk Migration	5	1			2	1	1	2		1			1		1	2		1	1	2		1
Messaging Patterns	5	4			4	2	2	2		5			4		2	4		2	3	2		4
TeamCity	5	4			5	4	5	2		5			5		4	2		3	4	5		1
Azure DevOps	5	4			2	4	5			4			5		4	5		5	3	5		4
Octopus Deploy	3	4			5	4	4	2		5			5		2	2		3	4	5		4
BitBucket	4	2			4	4	2	4		4			4		4	4		4	4	4		4
GitLab	1	2			2	2	2	4		4			4		2	2		2	2	2		2
GitHub	4	4			4	4	5	4		4			4		2	4		4	4	5		4
JIRA & Confluence	1	4			4	4	4	4		4			5		4	4		4	4	4		4
Terraform	2	2			2	2	2	2		4			4		1	2		2	2	5		4
Linux	3	2			2	3	4	2		4			4		1	2		4	2	5		2
AWS	3	4			2	2	2	4		5			2		2	2		3	2	4		4
GCP	2	2			4	3	2	2		2			2		1	2		2	2	2		4
Azure	5	4			2	4	4	2		4			5		4	5		5	3	5		4
AKS	3	1			2	2	2	2		4			2		2	2		2	2	2		1
Azure Container Service	2	1			2	2	2	2		4			2		2	2		2	2	4		1
Docker	3	1			4	2	4	2		5			2		2	2		2	4	5		1
Azure App Services	5	2			2	2	2	2		4			5		4	4		5	4	4		5
Azure Cognitive Services	2	2			2	2	2	2		2			2		2	2		4	4	2		2
Microsoft BOT Framework	2	1			2	2	2	2		2			2		2	2		3	2	2		2
Azure Search	2	2			2	2	2	2		2			2		2	2		2	4	2		4
Azure Identity and Access	4	2			2	2	2	2		2			4		2	4		3	3	4		4
Serverless Concepts	5	4			2	3	2	2		5			4		4	4		4	4	4		4
Kubernetes	2	1			4	2	2	2		4			2		2	2		2	2	2		1
Xamarin	1	1			4	1	1	2		1			1		2	1		3	4	4		2
Android Native	1	1			5	2	1	2		2			1		1	2		2	1	2		2
IOS Native 	1	1			5	2	1	2		2			1		1	2		2	1	2		2
React Native 	1	1			2	3	1	2		2			2		1	2		1	2	2		2
Flutter	1	1			2	2	1	2		2			2		1	2		2	1	2		2
Cordova	1	4			2	1	1	2		4			2		1	2		1	1	2		2
ML	2	2			2	2	2	2		2			2		2	2		2	2	2		2
Data Analytics/Data Modeling	3	2			2	2	2	2		2			2		2	2		3	2	2		2
Spatial/Mapping	2	2			2	2	1	2		2			4		2	2		3	4	5		2
Unreal Engine	1	2			4	2	1	2		2			4		1	1		2	1	2		2
Unity 4D	1	2			2	2	1	2		2			2		1	1		2	1	2		2
Microsoft Power Apps	3	1			2	2	2	2		2			1		1	2		4	1	1		2
Development process assessment	4	4			2	2	2	4		2			5		2	5		4	5	5		4
Cloud Adoption Framework	5	2			2	2	2	2		2			2		2	2		4	2	2		4
Cloud Governance	5	1			2	2	2	2		2			2		1	2		3	2	2		4
Software Architecture Review	5	4			2	2	2	2		4			5		1	4		4	4	5		4
Software Application and Product Strategy	5	4			2	2	2	2		4			5		2	2		5	2	5		4
DevOps and Agile Process	4	4			4	4	4	4		4			5		4	5		5	4	5		4
Cloud Native Development (Azure)	5	2			2	2	2	2		4			5		4	4		5	3	5		5
PaaS Services		2			2	2	2	2		4			5		2	4		5	2	5		5
